Time,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed
15:32:44,27-02-2022,27.71,37.73,970.88,33.429699,72.826218,104.99
15:32:46,27-02-2022,27.71,37.73,970.72,33.430206,72.826057,103.6
15:32:48,27-02-2022,27.72,37.71,970.57,33.430706,72.825897,102.23
15:32:50,27-02-2022,27.73,37.71,970.49,33.431206,72.825729,101.95
15:32:52,27-02-2022,27.72,37.71,970.3,33.431702,72.825584,101.01
15:32:54,27-02-2022,27.72,37.68,970.13,33.43219,72.825455,100.25
15:32:56,27-02-2022,27.73,37.69,969.92,33.432678,72.825356,99.16
15:32:58,27-02-2022,27.72,37.67,969.78,33.433174,72.825302,98.53
15:33:00,27-02-2022,27.72,37.66,969.65,33.433662,72.825287,98.66
15:33:02,27-02-2022,27.73,37.65,969.63,33.434162,72.82531,98.12
15:33:04,27-02-2022,27.73,37.65,969.57,33.43465,72.825356,98.86
15:33:06,27-02-2022,27.72,37.62,969.63,33.435154,72.825447,101.43
15:33:09,27-02-2022,27.72,37.62,969.63,33.435921,72.825661,103.36
15:33:11,27-02-2022,27.73,37.62,969.67,33.436436,72.825851,106.42
15:33:13,27-02-2022,27.73,37.61,969.67,33.436939,72.826096,108.42
15:33:15,27-02-2022,27.72,37.61,969.8,33.437431,72.826385,108.88
15:33:17,27-02-2022,27.73,37.6,969.78,33.437912,72.826706,108.34
15:33:19,27-02-2022,27.73,37.59,969.74,33.43837,72.827057,107.1
15:33:21,27-02-2022,27.73,37.59,969.64,33.438808,72.827423,106.42
15:33:23,27-02-2022,27.73,37.58,969.51,33.43922,72.827827,105.38
15:33:25,27-02-2022,27.73,37.55,969.41,33.439613,72.828255,104.51
15:33:27,27-02-2022,27.73,37.51,969.3,33.439983,72.828705,104.84
15:33:29,27-02-2022,27.73,37.48,969.14,33.440331,72.829178,103.58
15:33:31,27-02-2022,27.73,37.45,969,33.440659,72.829659,102.21
15:33:33,27-02-2022,27.73,37.43,968.91,33.440964,72.830147,101.14
15:33:35,27-02-2022,27.73,37.41,968.69,33.441269,72.830635,99.97
15:33:37,27-02-2022,27.74,37.39,968.47,33.441586,72.831093,98.75
15:33:39,27-02-2022,27.73,37.37,968.26,33.441917,72.831528,97.8
15:33:41,27-02-2022,27.74,37.36,968.05,33.442265,72.83194,98.01
15:33:43,27-02-2022,27.74,37.36,968,33.442619,72.832336,96.42
15:33:45,27-02-2022,27.74,37.34,967.8,33.442986,72.832703,95.79
15:33:47,27-02-2022,27.74,37.34,967.49,33.443363,72.833054,95.47
15:33:49,27-02-2022,27.73,37.32,967.24,33.443752,72.833382,94.82
15:33:51,27-02-2022,27.74,37.3,967.1,33.444149,72.833694,94.06
15:33:53,27-02-2022,27.74,37.25,967.02,33.444553,72.833977,93.32
15:33:55,27-02-2022,27.74,37.22,966.8,33.444965,72.834244,92.79
15:33:57,27-02-2022,27.74,37.18,966.65,33.445385,72.83448,92.54
15:33:59,27-02-2022,27.74,37.16,966.47,33.445816,72.834694,92.66
15:34:01,27-02-2022,27.74,37.15,966.4,33.446255,72.834892,93.23
15:34:03,27-02-2022,27.74,37.15,966.32,33.446701,72.835068,93.93
15:34:05,27-02-2022,27.74,37.14,966.2,33.447155,72.83522,94.92
15:34:07,27-02-2022,27.74,37.15,966.11,33.44762,72.835358,96.1
15:34:09,27-02-2022,27.74,37.16,965.93,33.448093,72.83548,96.56
15:34:11,27-02-2022,27.74,37.16,965.8,33.448566,72.835579,96.04
15:34:13,27-02-2022,27.74,37.15,965.65,33.449047,72.835655,96.12
15:34:15,27-02-2022,27.74,37.15,965.55,33.449535,72.835701,96.9
15:34:17,27-02-2022,27.74,37.14,965.27,33.450005,72.835724,95.27
15:34:19,27-02-2022,27.74,37.14,965.16,33.45047,72.835739,94.56
15:34:21,27-02-2022,27.74,37.12,965,33.450935,72.835754,93.75
15:34:23,27-02-2022,27.74,37.11,964.79,33.451397,72.835754,93.06
15:34:25,27-02-2022,27.74,37.11,964.53,33.451855,72.835762,92.4
15:34:27,27-02-2022,27.74,37.12,964.49,33.452309,72.835762,92.25
15:34:29,27-02-2022,27.74,37.12,964.38,33.452766,72.83577,92.25
15:34:31,27-02-2022,27.75,37.11,964.28,33.453224,72.83577,92.77
15:34:33,27-02-2022,27.75,37.11,964.23,33.453686,72.835785,93.4
15:34:35,27-02-2022,27.75,37.1,964.23,33.454155,72.835793,94.29
15:34:37,27-02-2022,27.75,37.09,964.26,33.454632,72.8358,96.06
15:34:39,27-02-2022,27.75,37.09,964.21,33.455116,72.835808,98.62
15:34:41,27-02-2022,27.75,37.1,964.26,33.455612,72.835823,99.99
15:34:43,27-02-2022,27.75,37.11,964.36,33.45612,72.835838,102.95
15:34:45,27-02-2022,27.75,37.12,964.44,33.456642,72.835861,104.32
15:34:47,27-02-2022,27.75,37.12,964.52,33.457172,72.835884,106.51
15:34:49,27-02-2022,27.76,37.13,964.57,33.457714,72.835907,108.42
15:34:51,27-02-2022,27.75,37.11,964.63,33.458263,72.83593,109.4
15:34:53,27-02-2022,27.75,37.11,964.71,33.45882,72.835953,109.45
15:34:55,27-02-2022,27.75,37.12,964.7,33.45937,72.835976,109.12
15:34:57,27-02-2022,27.75,37.12,964.62,33.459919,72.835999,109.01
15:34:59,27-02-2022,27.75,37.13,964.5,33.460464,72.836021,108.23
15:35:01,27-02-2022,27.75,37.09,964.29,33.461006,72.836044,107.77
15:35:03,27-02-2022,27.75,37.04,964.16,33.461544,72.836067,106.92
15:35:06,27-02-2022,27.76,37.06,964.01,33.462349,72.836105,105.84
15:35:08,27-02-2022,27.76,37.04,963.87,33.462883,72.836121,106.29
15:35:10,27-02-2022,27.76,37.04,963.73,33.463413,72.836143,105.55
15:35:12,27-02-2022,27.76,37.04,963.68,33.463943,72.836159,105.77
15:35:14,27-02-2022,27.75,37.06,963.52,33.46447,72.836182,105.1
15:35:16,27-02-2022,27.76,37.07,963.41,33.464996,72.836205,104.84
15:35:18,27-02-2022,27.76,37.07,963.35,33.465519,72.836227,104.88
15:35:20,27-02-2022,27.76,37.06,963.15,33.466045,72.83625,104.1
15:35:22,27-02-2022,27.76,37.06,963.11,33.466564,72.836273,104.58
15:35:24,27-02-2022,27.76,37.04,962.95,33.467087,72.836296,103.99
