73.1144,33.7156,2022/1/1,7:37:26,7.98,28.06
73.1129,33.7148,2022/1/1,7:37:32,7.98,28.06
73.1116,33.7139,2022/1/1,7:37:38,7.98,28.06
73.1101,33.7131,2022/1/1,7:37:44,7.98,28.06
73.1087,33.7125,2022/1/1,7:37:50,7.98,28.06
73.1074,33.7119,2022/1/1,7:37:56,7.98,28.06
73.1065,33.7112,2022/1/1,7:38:2,7.98,28.06
73.1062,33.7102,2022/1/1,7:38:8,7.98,28.06
73.1062,33.7091,2022/1/1,7:38:14,7.98,28.06
73.1063,33.7082,2022/1/1,7:38:20,7.98,28.06
73.1058,33.708,2022/1/1,7:38:26,7.98,28.06
73.1052,33.7086,2022/1/1,7:38:32,7.98,28.06
73.1047,33.7094,2022/1/1,7:38:38,7.98,28.06
73.1042,33.7101,2022/1/1,7:38:44,7.98,28.06
73.1036,33.7112,2022/1/1,7:38:51,7.98,28.06
73.1032,33.7121,2022/1/1,7:38:57,7.98,28.06
73.1027,33.7127,2022/1/1,7:39:3,7.98,28.06
73.1018,33.7128,2022/1/1,7:39:9,7.98,28.06
73.1008,33.7124,2022/1/1,7:39:15,7.98,28.06
73.0996,33.7117,2022/1/1,7:39:21,7.98,28.06
73.0982,33.711,2022/1/1,7:39:27,7.98,28.06
73.0968,33.7103,2022/1/1,7:39:33,7.98,28.06
73.0954,33.7095,2022/1/1,7:39:39,7.98,28.06
73.0939,33.7088,2022/1/1,7:39:45,7.98,28.06
73.0925,33.708,2022/1/1,7:39:51,7.98,28.06
73.0911,33.7073,2022/1/1,7:39:57,7.98,28.06
73.0898,33.7066,2022/1/1,7:40:3,7.98,28.06
73.0884,33.7058,2022/1/1,7:40:9,7.98,28.06
73.0873,33.7049,2022/1/1,7:40:15,7.98,28.06
73.086,33.7043,2022/1/1,7:40:21,7.98,28.06
73.0846,33.7038,2022/1/1,7:40:27,7.98,28.06
73.0834,33.7033,2022/1/1,7:40:33,7.98,28.06
73.0824,33.7029,2022/1/1,7:40:39,7.98,28.06
73.0816,33.7024,2022/1/1,7:40:45,7.98,28.06
73.0807,33.7019,2022/1/1,7:40:51,7.98,28.06
73.0796,33.7013,2022/1/1,7:40:57,7.98,28.06
73.0784,33.7006,2022/1/1,7:41:3,7.98,28.06
73.0771,33.7,2022/1/1,7:41:9,7.98,28.06
73.0758,33.6993,2022/1/1,7:41:15,7.98,28.06
73.0744,33.6985,2022/1/1,7:41:21,7.98,28.06
73.073,33.6978,2022/1/1,7:41:27,7.98,28.06
73.0715,33.697,2022/1/1,7:41:33,7.98,28.06
73.0699,33.6962,2022/1/1,7:41:39,7.98,28.06
73.0683,33.6954,2022/1/1,7:41:45,7.98,28.06
73.0667,33.6945,2022/1/1,7:41:51,7.98,28.06
73.065,33.6937,2022/1/1,7:41:57,7.98,28.06
73.0633,33.6928,2022/1/1,7:42:3,7.98,28.06
73.0616,33.6919,2022/1/1,7:42:9,7.98,28.06
73.0599,33.691,2022/1/1,7:42:15,7.98,28.06
73.0583,33.6901,2022/1/1,7:42:21,7.98,28.06
73.0566,33.6892,2022/1/1,7:42:27,7.98,28.06
73.0549,33.6883,2022/1/1,7:42:33,7.98,28.06
73.0531,33.6874,2022/1/1,7:42:39,7.98,28.06
73.0513,33.6865,2022/1/1,7:42:45,7.98,28.06
73.0496,33.6856,2022/1/1,7:42:51,7.98,28.06
73.0479,33.6847,2022/1/1,7:42:57,7.98,28.06
73.0462,33.6838,2022/1/1,7:43:3,7.98,28.06
73.0446,33.6829,2022/1/1,7:43:9,7.98,28.06
73.043,33.6821,2022/1/1,7:43:15,7.98,28.06
73.0415,33.6812,2022/1/1,7:43:21,7.98,28.06
73.0402,33.6805,2022/1/1,7:43:27,7.98,28.06
73.039,33.6799,2022/1/1,7:43:33,7.98,28.06
73.038,33.6794,2022/1/1,7:43:39,7.98,28.06
73.0369,33.6789,2022/1/1,7:43:45,7.98,28.06
73.0356,33.6782,2022/1/1,7:43:51,7.98,28.06
73.0342,33.6775,2022/1/1,7:43:57,7.98,28.06
