Reading,Time,Reading,Date,Temerature,Humidity,Pressure,Latitude,Longitude
TIME:,11:24:27,DATE:,1/1/2022,36.26,20.13,998.43,31.617825,74.285866
TIME:,11:24:33,DATE:,1/1/2022,36.22,20.15,998.54,31.617989,74.287003
